,comment_clean_custom,regex_label,regex_label_new
15,ask ipad charge line educ contract ipad educ still month remain ipad disagree info walk check online able check info still unhappy charge ipad insist already pay ipad charge incorrect educ charge still disagree talk sup deescalate calll insist talk sup long respond,['Bill Error/Issues'],Bill Error/Issues
16,call regard possibly receive incorrect charge cord tablet replment,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
17,julie ream fraud verify incorrect charge phone purchase use,['Bill Error/Issues'],Bill Error/Issues
18,contact regard concern verizon charge wrong card due balance leave payment got decline card enrol autopay check note error error code payment decline inform customer autopay got terminate due lose steal card share self sere customer enrol autopay debit card contact regard concern verizon charge wrong card due balance leave payment got decline card enrol autopay check note error error code payment decline inform cust autopay got terminate due lose steal card share self sere cust enrol autopay debit card,['Bill Error/Issues'],Bill Error/Issues
19,order phone send wrong place set back cancel customer able receive phone usage plan check already inactive customer charge order phone send wrong place set back cancel cust able receive phone usage plan check already inactive cust charge order phone send wrong set back cancel cust able receive phone usage plan check already inactive cust charge,['Bill Error/Issues'],Bill Error/Issues
20,call back wife line should not charge travel pass try trg phone got disconnect could not reach back,[],Bill Error/Issues
21,caller much wrong amount charge trade specific date caller much wrong charge trade specific date caller much wrong charge trade specific,['Bill Error/Issues'],Bill Error/Issues
22,wrong order apple watch charger order location code try cancel end show order find xsfer core make sure order fully cancel,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
23,inquire charge verizon network extender should not charge order cancel never receive order previous agent create itt ticket resolution need take action order posible accord resolution ticket create itt ticket remove charge network extender relate order,['Credit Request/ Get Waiver'],Bill Error/Issues
24,loc uid cust monile protection work schedule appoint emt break fix tell cust device fixable close request assist cust processing warranty replment without charge cust fee cust should not charge,['Bill Error/Issues'],Bill Error/Issues
25,cust call ask exchange charger receive tis wrong item take local store exchsngr,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
26,customer charge verizon verified error disconnect incorrect line cust charge verizon verified error disconnect incorrect line,['Bill Error/Issues'],Bill Error/Issues
27,due chargeback dpp attach wrong line,['Bill Error/Issues'],Bill Error/Issues
28,speak vicky eggleston sup make apmt use say tell jan charge smart link pin incorrect transfer verizon gift card balance get correct pin pisao,['Bill Error/Issues'],Bill Error/Issues
29,loc uid call ask recur charge post bank tell cust service say dint see verizon educate cust tell should not see recur charge taxis case,[],Bill Error/Issues
30,loc uid dfplease wave set charge cust schedule wrong day,['Bill Error/Issues'],Bill Error/Issues
31,pardeep deliver wrong address check educate customer regard concern process new order promise cover charge pardeep deliver wrong address check educate cust regard concern process new order promise cover charge,['Bill Error/Issues'],Bill Error/Issues
32,cust claim getting charge datum incorrectly information need assist,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
33,executive relation receive email complaint cust regard wrong charger purchase outside attempt contact cust phone text email acss upon resolution,['Bill Error/Issues'],Bill Error/Issues
34,place pre order galaxy ultra address incorrect cancel order place worry charge advise payment method detail collect amount take yet device yet ship pre order place new order online trade promotion place pre order galaxy ultra address incorrect cancel order place worry charge advise payment method detail collect take yet device yet ship pre order place new order online trade promotion pre order galaxy ultra address incorrect cancel order worry charge advise payment method detail collect take yet device yet ship pre order new order online trade promotion,['Bill Error/Issues'],Bill Error/Issues
35,customer give wrong info end call bank reverse money figured leave money past due charge cust give wrong info end call bank reverse money figured leave money past due charge,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
36,payment process charge wrong xfer call,['Bill Error/Issues'],Bill Error/Issues
37,get text many minute message use unlimited see message look informative message charge unlimited should not overage set follow try file insurance claim talk lte home call est,[],Bill Error/Issues
38,know process customer dispute payment make wrong customer dispute charge bank since know pay know process cust dispute payment make wrong cust dispute charge bank since know pay,['Bill Error/Issues'],Bill Error/Issues
39,calle din order charge code receive wrong order send return kit send wrong order advise near verizon store return wrong order get right cord charger device understand want speak someonele,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
40,call call incorrect charge transfer agreement that still contract apply extended warranty charge manager approve educ,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
41,cust concern cust order item receive incorrect charging cord instead charge wire resolution recommendation past agent able process order concern offer resolve tool use,['Bill Error/Issues'],Bill Error/Issues
42,try come wrong charge change,['Bill Error/Issues'],Bill Error/Issues
43,call back promo correction apply byod however apply wrong line charge back want byod line instead line attempt promo correction option byod edu promo correction submit approve apply meet requirement likely turn result charge back adamant result charge back want call escalate escalate call asp request,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
44,process new order ios charger since order wrong charger app palce new location code,['Bill Error/Issues'],Bill Error/Issues
45,loc uid gkcx suppose international plan line end dec online take wrong international plan toom global choice plan charge month plan wrongfully contact loyalty see credit add,"['query-international plan', 'Bill Error/Issues']",Bill Error/Issues
46,dispute travel pass charge should not line since phone keep airplane mode educate call invoice see trigger ravel pass credit nfq,[],Bill Error/Issues
47,call cancel order upgrade line end order suppose upgrade line end tablet line try cancel order order ship create itt ticket cancellation order ticket inform device receive charge apply incorrect order,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
48,call international call feature cust hard time service work complain wrong plan apply discuss charge call back cust try feature,"['Credit Request/ Get Waiver', 'query-international plan', 'Bill Error/Issues']",Bill Error/Issues
49,call two trade imei towards imei market value chargeback should not happen pca correct trade advise adj chargeback since suppose get market value,['Credit Request/ Get Waiver'],Bill Error/Issues
50,pende loyalty discount chargeback incorrect discount,['Bill Error/Issues'],Bill Error/Issues
51,allow disconn charge back rebate ost pageid confirm note prev quote incorrectly chargeback apply disconn complete mos service adv way get around charge disconn disconn complete add loyalty discount effect play effect remove residual cloud feat effect cxok,"['Credit Request/ Get Waiver', 'Remove Service features', 'Bill Error/Issues']",Bill Error/Issues
52,already send iphone trade promotion check tracking phone arrive warehouse january should not charge promo charge back,['Bill Error/Issues'],Bill Error/Issues
53,ask byod plan relate suppose line one pende line suppose area code correct begin initiate phone whole process vzn store upon check line start already cancel device appear edu edu charge wrong line get release adjustment matter edu actually pende line one end kind charge plan wrongly edu wait till work adjustment agree,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
54,replment cord tablet send think wrong equipment guide confirm right one advise small end tablet large charger still worry wrong one send,['Bill Error/Issues'],Bill Error/Issues
55,customer need replacement device replace trouble hear take tech unable fix pler store order place wrong address advise customer return order send wrong address avoid charge cust need replacement device replace trouble hear take tech unable fix pler store order place wrong address advise cust return order send wrong address avoid charge cust need replment device repl trouble hear take tech unable fix pler store order wrong address advise cust return order send wrong address avoid charge,['Bill Error/Issues'],Bill Error/Issues
56,check order state suppose receive wall charger ship one wrong item order pler wall adapter need cost manager approval,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
57,esc receive charge back trade valid wrong trade apply correct cust understand chargeback cust tell get charge back monie back case credit,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
58,call line charge set fee should not charge say wife store set device pick device adj otc,['Bill Error/Issues'],Bill Error/Issues
59,bryce provide adjustment one time courtesy due incorrect charge line show activate day line activate however never use line end line disconnect due non payment,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
60,user lindsay duneske sup note keep insist arrangement mistakenly process wrong account want keep arrangement want pay remain difference original arrangement offer otc keep arrangement try explain service got interrupt long arrangement set account not want hear not want pay additional charge blame remind wrong amount payment connection interrupt change make gcs jdelrosario user lindsay duneske sup note keep insist arrangement mistakenly process wrong want keep arrangement want pay remain difference original arrangement offer otc keep arrangement try explain service got interrupt long arrangement set not want hear not want pay additional charge blame remind wrong amount payment connection interrupt change make gcs jdelrosario user lindsay duneske sup note keep insist arrangement mistakenly process wrong want keep arrangement want pay remain difference original arrangement offer otc keep arrangement try explain service got interrupt long arrangement set not want hear not want pay additional charge blame remind wrong payment connection interrupt change make gcs jdelrosario lindsay duneske sup note keep insist arrangement mistakenly process wrong want keep arrangement want pay remain difference original arrangement offer otc keep arrangement try explain service got interrupt long arrangement set not want hear not want pay additional charge blame remind wrong payment connection interrupt change make gcs jdelrosario,['Bill Error/Issues'],Bill Error/Issues
61,cust state receive wrong charge cord need usb usb cust want apple brand currently stock,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
62,stephanie belland call regard promo chargedback due wrong device receive warehouse find device replment old phone active repl make model different imei process pca ticket,['Bill Error/Issues'],Bill Error/Issues
63,call adv take phone chrger little blemish dot screen stat phone drop damage liquid damage adv repl find thing wrong charge replment due warrant malfuction phone understand,['Bill Error/Issues'],Bill Error/Issues
64,continue wrong card charge send long reply back ncm,['Bill Error/Issues'],Bill Error/Issues
65,joshua call line end receievd device charge upon check wrong create itt ticket create new itts ticket line advice iwll callback feb detailsa update joshua call line end receievd device charge upon check wrong create itt ticket create new itts ticket line advice iwll callback feb detailsa,['Bill Error/Issues'],Bill Error/Issues
66,incorrect charge home device cancel year ask sup call transfer,['Bill Error/Issues'],Bill Error/Issues
67,call provide wrong customer want check charge old call provide wrong cust want check charge old,['Bill Error/Issues'],Bill Error/Issues
68,dnr charge adivse might send wrong device investigate send ticket itt call back ncm,['Bill Error/Issues'],Bill Error/Issues
69,tell pay extra charge change due advise incorrect information change due make month worth charge say tell,['Bill Error/Issues'],Bill Error/Issues
70,loc uid initially set wrong device charge incorrectly device line upon research cust charge full service temporary incorrectly assist credit proper,['Bill Error/Issues'],Bill Error/Issues
71,cust claim getting charge incorrectly new plan inform getting charge correctly share breakdown well,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
72,call charge incorrectly business hence warm transfer call dept speak arsyn transfer,['Bill Error/Issues'],Bill Error/Issues
73,incorrectly charge global calling feature long time hnz info provide,['Bill Error/Issues'],Bill Error/Issues
74,loc uid ahfcust come discuss promo correction wrong plan charge cust service cust come plan change promo still remain remove promo upon plan change,['Bill Error/Issues'],Bill Error/Issues
75,get dual sim activate say suppose tie google voice educate tell could not add google voice dual sim need reach google get upset give wrong info say tell use month tell set charge full price new line phone phone google voice apologize receive wrong info say not want charge line tell disconnect will not charge right read disclosure get mad hung try call back twice get answer not able disco line,['Bill Error/Issues'],Bill Error/Issues
76,cust charge device error discover device charge correct warehouse error wrong device list wrong cust charge device associate imei,['Bill Error/Issues'],Bill Error/Issues
77,regard charge wrong information give request refund provide look,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
78,loc uid faske see cxt throw table still help keep say verizon rip should not charge set fee disgusting cxt rude,[],Bill Error/Issues
79,concern line end persona business incorrection cause charge line end move business concerned charge,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
80,charge wrong device,['Bill Error/Issues'],Bill Error/Issues
81,loc uid customer store inquire double payment device order check look customer device ship advise customer pre order should not charge device ship advise customer fill payment form get money back charge advise customer need statement loc uid cust store inquire double payment device order check look cust device ship advise cust pre order should not charge device ship advise cust fill payment form get money back charge advise cust need statement,['Credit Request/ Get Waiver'],Bill Error/Issues
82,tax incorrect still charge montgy cnty taxis change address bramblewood make sure taxxe frederick cnty taxis,['Bill Error/Issues'],Bill Error/Issues
83,way see charge teh wrong already process credit,['Bill Error/Issues'],Bill Error/Issues
84,cust line state make payment set payment arrangement snother iinstead cust charge want know confirm cust speak set ptp use remark confirm cust charge wrong ptp use payment hub try submit refund request decline third time cust disconnect call decline second time try reach inform refund process shell recieve day cust not answer instead leave voicemail,['Bill Error/Issues'],Bill Error/Issues
85,charge wrong bank advise payment refund already process within business day ask manual payment,['Bill Error/Issues'],Bill Error/Issues
86,state get wrong car charge send back pler show stock call close store zip state store pick,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
87,ask get help charge exceed datum offer change plan 5g start price deny change make get wrong charge exceed datum make proper correction say plan dll exceed tell usually exceed,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
88,order charger pay receive wrong one correct one order charge two time,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
89,call dispute charge store mother store set device line charge receive receipt incorrect charge charge valid disappoint,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
90,transfer pin advise dpp remain say not dpp one iphone purchase state she charge thing incorrect unwilling discuss say already try help,['Bill Error/Issues'],Bill Error/Issues
91,cust advise try internet free day wrong information advise charge cust understand,['Bill Error/Issues'],Bill Error/Issues
92,user shamoni smith insist sup since ptp cancel due mention amount charge wrong xfer esca user shamoni smith insist sup since ptp cancel due mention charge wrong xfer esca shamoni smith insist sup since ptp cancel due mention charge wrong xfer esca,['Bill Error/Issues'],Bill Error/Issues
93,loc uid etp customer come instore try return network extender care send free oct unable pull orderer advise customer should not charge due active device also advise customer care may able return device loc uid etp cust come instore try return network extender care send free oct unable pull orderer advise cust should not charge due active device also advise cust care may able return device,[],Bill Error/Issues
94,user amanda carter valencia call try make arrangement mobile app end phone since system error agent inform wave mistakenly put wrong date second arrangement charge call suppose wave amanda carter valencia call try make arrangement mobile app end phone since system error agent inform wave mistakenly put wrong date second arrangement charge call suppose wave amanda carter valencia call try make arrangement mobile app end phone since system error agent inform wave mistakenly put wrong second arrangement charge call suppose wave,"['activation issue', 'Call Trouble', 'Bill Error/Issues']",Bill Error/Issues
95,get wrong charger replment ipad inform charger charger want replment help getting connect,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
96,cust store ask prepay post say prepay take pmt say post pay take correct payment cust get statement charge make incorrect pmt make approval transaction make victra need reverse misapply pmt payment make cust text email unable send incipio link submit info manually enter store location,"['Credit Request/ Get Waiver', 'Trouble messaging', 'Bill Error/Issues']",Bill Error/Issues
97,receive charge back due incorrect device ceive able verify return correct device assist pca able restore credi,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
98,agent plan change inform customer one time charge agent also quote wrong price customer apply plan weren discuss das gupta agent plan change inform cust one time charge agent also quote wrong price cust apply plan weren discuss das gupta,['Bill Error/Issues'],Bill Error/Issues
99,cust claim got charge incorrectly use service acss stop work hence transfer,['Bill Error/Issues'],Bill Error/Issues
100,caller last digits cbr last digit charge autopay incorrectly promise credit show send autopay already active,['Bill Error/Issues'],Bill Error/Issues
101,request sim order pler advise should not charge ship day agree,[],Bill Error/Issues
102,debit crdt trade wrong charge one promo correction debit send request supervisor approve,['Bill Error/Issues'],Bill Error/Issues
103,joseph calabrese situation need luke something wrong charge system speak somebody wonder can not charge phone purchase new phone action ask qeustion provide step charge device result unresponsive resolve,['Bill Error/Issues'],Bill Error/Issues
104,screen turn pin require educ charge replment order wrong address west main franklin spring correct address need cancel order first xfer,['Bill Error/Issues'],Bill Error/Issues
105,wrong get phone free charge month pay line free ticket put cancel ost expire let pca thefree phone cust tell ifhe trade phone get free phone charge month call cust back,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
106,receive wrong charger want repl give option store,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
107,remove cloud storage incorrectly charge travelpass aug sep purchase month intl plan reimburse send payment info atm,['Bill Error/Issues'],Bill Error/Issues
108,loc uid czqcsr incorrectly recuure intl plan instead month plan thus charge incorrectly advise csr contact care charge rectify,['Bill Error/Issues'],Bill Error/Issues
109,call due charge wrong cable line order compare prior order new order receive discount,['Bill Error/Issues'],Bill Error/Issues
110,manager user want info incorrectly tax get charge incorrectly get promise provide discount receive yet xfer care info manager want info incorrectly tax get charge incorrectly get promise provide discount receive yet xfer care info,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
111,agreement incorrectly charge line end never get phone store agreement suppose cancel,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
112,call behalf mrs johns charge dollar fee apparently store transfer datum info tell check together store straight manager dispute charge cause should not charge probably assistance charge cover conference call make dispute together store refuse give service,"['Call Trouble', 'Bill Error/Issues']",Bill Error/Issues
113,trg cust use speaker call need new clnr should not charge clnr device add loyalty offer,['Setup/ Activate Phone'],Bill Error/Issues
114,bermuda wonder recieve state charge high datum amoutn edu travelpass fact cover unlimited without extra charge okey delet incorrect message,['Bill Error/Issues'],Bill Error/Issues
115,use incorrect make payment charge bank however payment reflect end transfer collection,['Bill Error/Issues'],Bill Error/Issues
116,terminate however amout charge wrong card info ask wait reverse order make manual payment,['Bill Error/Issues'],Bill Error/Issues
117,rebetta gillespie verizon laptop order new phone order phone quote different trade value dotcom prepayment ifd send ensure one order should not charge anything additional transfer fraud complete order,[],Bill Error/Issues
118,market value order ost prem plan get unlimited want change plan find hot remark provide incorrect cust charge back trade offer add promo remove hot remark,['Bill Error/Issues'],Bill Error/Issues
119,state switch bank new pmt method information system take pmt old pmt method enrol autopay additional charge pmt come wrong pmt method,['Bill Error/Issues'],Bill Error/Issues
120,say sell wrong charge block store give say back store get replment,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
121,call order cancel order still sow way charge wrong card use rebate card one receive form verizon disconnected call hang,['Bill Error/Issues'],Bill Error/Issues
122,wiave fee internation due give wrong expectation cust charge,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
123,caller state need jam charge cord recognize iphone pro sometimes work sometimes will not month reso complete basic troubleshooting step phone still behave asme not recognize charge cord make clear charge port should not loose wiggle bent corrosion avoid non compliance fee phone repair try contact since acss error req schedule,"['Credit Request/ Get Waiver', 'activation issue']",Bill Error/Issues
124,accct wrong charge,['Bill Error/Issues'],Bill Error/Issues
125,charge multiple time order different line galaxy ultra defender series case jbl charge trade order location code charge multiple time line order charge order follow make correct charge event charge still incorrect due nbs always accurate,['Bill Error/Issues'],Bill Error/Issues
126,cust claim never add line getting charge incorrectly information need assist active,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
127,fix incorrect charge cloud service include plan submit music subscription incorrectly charge,['Bill Error/Issues'],Bill Error/Issues
128,ert receive email complain tara ritt regard charge wrong month complete transfer service,['Bill Error/Issues'],Bill Error/Issues
129,crt escalation cust got cancel confirmation order order ship still charge much first order wrong due error shld advise cust dispute charge bank fund put back teh acct adj acct chrg additional fee due matter ref order loc tracking give cust email contact contact bank avsd decline shipment crt escalation cust got cancel confirmation order order ship still charge much first order wrong due error shld advise cust dispute charge bank fund put back teh adj chrg additional fee due matter ref order loc tracking give cust email contact contact bank avsd decline shipment,['Bill Error/Issues'],Bill Error/Issues
130,give promo charge back switch plan start pay phone switch plan should not chargeback pay month pay month buy phone anything promo retract charge back not seem valid consider fact buy phone call back,['Credit Request/ Get Waiver'],Bill Error/Issues
131,care agent call regard usage phone since see charge explain care agent last feb use verizon service wifi make call say use dftime there should not charge,['Call Trouble'],Bill Error/Issues
132,charge line state charge watch line however never activate call charge smart phone prev cre incorrect disc well charge watch line give mix match that increase cre month offerre give year difference normally credit explain diff plan price smart phone rather credit,"['Credit Request/ Get Waiver', 'Bill Error/Issues', 'Setup/ Activate Phone']",Bill Error/Issues
133,wast old patyment hub resolve put wrong usin initial total charge order payhub team reject say tofile itts see ffile least close note say order remark order remark ther refund,['Bill Error/Issues'],Bill Error/Issues
134,charge incorrectly request credit adjustment,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
135,cust satisfaction cust incorrectly charge intl feature intl feat suppose add line incorrectly add,['Bill Error/Issues'],Bill Error/Issues
136,promo recent order qualify ost incorrect show charge old plan plan charge line give rough estimate remove visual,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
137,call get iphone repl thru states tell phone claim repl free apologize incorrect info adv deductible also make phone call cover esc state give incorrect info want repl charge,"['Call Trouble', 'Bill Error/Issues']",Bill Error/Issues
138,want cancel verizon credit card money take wrong card concern charge wrong card delete card,['Bill Error/Issues'],Bill Error/Issues
139,dispute charge educate cst cst also state exchange watch pro give educate cst back store get correct device since give wrong device charge fee,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
140,call one time charge case tell break pmts verify order one time charge incorrect info provide store,['Bill Error/Issues'],Bill Error/Issues
141,international dispute ask plan put wrong charge see online rong neede febuary assume correct wifi make call whole time internet use bell churn want get resolve send review,"['Call Trouble', 'Bill Error/Issues']",Bill Error/Issues
142,get wrong charger call store store repl,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
143,ship wrong charger pler correct one send email return label one got ship,['Bill Error/Issues'],Bill Error/Issues
144,charge internet mdm send wrong address cancel acct rec back house also pler internet acct due charge internet mdm send wrong address cancel rec back house also pler internet due,['Bill Error/Issues'],Bill Error/Issues
145,contact incorrect charge check inactive,['Bill Error/Issues'],Bill Error/Issues
146,know charge high check charge find charge add incorrect number number number charge check charge add educ subject change know charge high check charge find charge add incorrect charge check charge add educ subject change,"['Bill Error/Issues', 'Setup/ Activate Phone']",Bill Error/Issues
147,pmt payment not error code ost page contact card company also say charge incorrect state sale tax base ost page still work correct correct state tax also want add insurance add vzmp discon tablet request acknowledge good,['Bill Error/Issues'],Bill Error/Issues
148,user supnote charge incorrectly tell device free charge supnote charge incorrectly tell device free charge,['Bill Error/Issues'],Bill Error/Issues
149,wrong charger want replment,['Bill Error/Issues'],Bill Error/Issues
150,ask email charge get wrong payment method drop autopay wait charge reflect appreciate waive mistake pay wit different card,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
151,derrick port dep call question add ons state get frustrate leave bring one phone back take add tell new plan include ons edu include disney show free app credit policy since disney should not charge since include plan able unenroll insurance show line ineligible option remove vmp show active nothing remove change make,['Setup/ Activate Phone'],Bill Error/Issues
152,line different process tys since less day upon activation previous mess phone process incorrect charge new line,"['Bill Error/Issues', 'Setup/ Activate Phone']",Bill Error/Issues
153,call last person talk give wrong get wrong charger store need let know take one order store provide schedule tomorrow afternoon,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
154,cust concern charge cloud incorrect address tax resolution recommendation educate feature already remove charge move forward offer none resolve tool use infoman rtq eos,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
155,order upgrade send pay send cust state pay overnight get check day free extra charge shipping address incorrect send text cust information receive information package correctly send nursing discount info,"['Trouble messaging', 'Bill Error/Issues']",Bill Error/Issues
156,upon reviwee nbs summary show cust charge disney bundle should not since remove,['Remove Service features'],Bill Error/Issues
157,keep getting charge reoccurring int plan verify line feature should not charge feature long tell call get charge feature future,['Credit Request/ Get Waiver'],Bill Error/Issues
158,cust reveice order cancel day order not suppose continue store return personaly should not charge nothing,[],Bill Error/Issues
159,fio dispute charge fio customer xfer wrong department fio dispute charge fio cust xfer wrong department,['Bill Error/Issues'],Bill Error/Issues
160,call due charge back due use wrong card offer credit ask sup also explaind get charge,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
161,charge sorry wrong note previous,['Bill Error/Issues'],Bill Error/Issues
162,incorrectly advise plan charge expect make acocunt prev provide credit negotiate,['Bill Error/Issues'],Bill Error/Issues
163,rosie icc mirtala cardenas pin verify send fraud send fraud info store give charge wrong direct speak store charge explain time device upgrade fraud,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
164,gen help assist submit payment hub device payout charge twice wrong amount inform day refund ticket gen help assist submit payment hub device payout charge twice wrong inform day refund ticket,['Bill Error/Issues'],Bill Error/Issues
165,esc call assist correcting plan 5g home plan cust home plus charge wrong quote cust aware pay month able drop month add cust say future change,['Bill Error/Issues'],Bill Error/Issues
166,device dead charge power device give wrong info time connect wifi,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
167,charge device never check device purchase not not submit payment hub ticket incorrect charge,['Bill Error/Issues'],Bill Error/Issues
168,loc uid lgpremove charge associate incorrect type instead time activation cancel wfg exist,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
169,call add moto role line end call general help also want charger send wrong charger device trg device able fix device transfer tech able make call retrieve text message browse web also state call feature break,"['Call Trouble', 'Bill Error/Issues']",Bill Error/Issues
170,agent store want get charge bmatch line wrong order line want fix system allow,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
171,loc uid dslcust come month ago attempt take end charge plan also auto pay set joint close never unroll auto pay lose discount should not pay extra charge mess should not authorize first,[],Bill Error/Issues
172,michelle promo chargeback line find pca wrong line cause much confusion iphone trade imei remove line add trade device actually imei got correction put since first pca wrong cust confuse first edu cus correction work,"['Bill Error/Issues', 'Setup/ Activate Phone']",Bill Error/Issues
173,cust call send wrong charger know send back,['Bill Error/Issues'],Bill Error/Issues
174,make delete feature add never request add agent apply charge incorrectly angry totally incorrect make change without inform,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
175,charge incorrectly disney provide credit adjustment,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
176,call inquire clnr charge wrong phone charge clnr fill itt ticket fully assist,['Bill Error/Issues'],Bill Error/Issues
177,cust need change help say make change wrong charge change fee,['Bill Error/Issues'],Bill Error/Issues
178,jhon receive charge payment arrangement charge wrong card process refund send link pay payment set expectation refund post within business day,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
179,cust activate travel pass automate system wrong date make sure will not charge extra educate cust travel pass work charge use service travel cust activate travel pass automate system wrong make sure will not charge extra educate cust travel pass work charge use service travel,['Bill Error/Issues'],Bill Error/Issues
180,forero call review charge cusotmer claim charge wrong cust call change draft day apologize wrong information charge explain make charge charge prorate accord change case charge add explain charge high normal cust understand apologize offer option cust decide back month,['Bill Error/Issues'],Bill Error/Issues
